filename,fold_number,auroc,ap,precision,recall,f1_score,accuracy,tn,fp,fn,tp,multi_auroc,multi_ap,multi_precision,multi_recall,multi_f1_score,multi_accuracy,train_patients_neg_abdominal_nec,train_patients_neg_all,train_patients_neg_brain_ivh_stage_3_4,train_patients_neg_cns_los,train_patients_neg_cps_los,train_patients_neg_infection,train_patients_neg_los,train_patients_neg_pneumonia,train_patients_neg_sepsis,train_patients_pos_abdominal_nec,train_patients_pos_any,train_patients_pos_brain_ivh_stage_3_4,train_patients_pos_cns_los,train_patients_pos_cps_los,train_patients_pos_infection,train_patients_pos_los,train_patients_pos_pneumonia,train_patients_pos_sepsis,train_windows_neg_abdominal_nec,train_windows_neg_all,train_windows_neg_brain_ivh_stage_3_4,train_windows_neg_cns_los,train_windows_neg_cps_los,train_windows_neg_infection,train_windows_neg_los,train_windows_neg_pneumonia,train_windows_neg_sepsis,train_windows_pos_abdominal_nec,train_windows_pos_any,train_windows_pos_brain_ivh_stage_3_4,train_windows_pos_cns_los,train_windows_pos_cps_los,train_windows_pos_infection,train_windows_pos_los,train_windows_pos_pneumonia,train_windows_pos_sepsis,val_patients_neg_abdominal_nec,val_patients_neg_all,val_patients_neg_brain_ivh_stage_3_4,val_patients_neg_cns_los,val_patients_neg_cps_los,val_patients_neg_infection,val_patients_neg_los,val_patients_neg_pneumonia,val_patients_neg_sepsis,val_patients_pos_abdominal_nec,val_patients_pos_any,val_patients_pos_brain_ivh_stage_3_4,val_patients_pos_cns_los,val_patients_pos_cps_los,val_patients_pos_infection,val_patients_pos_los,val_patients_pos_pneumonia,val_patients_pos_sepsis,val_windows_neg_abdominal_nec,val_windows_neg_all,val_windows_neg_brain_ivh_stage_3_4,val_windows_neg_cns_los,val_windows_neg_cps_los,val_windows_neg_infection,val_windows_neg_los,val_windows_neg_pneumonia,val_windows_neg_sepsis,val_windows_pos_abdominal_nec,val_windows_pos_any,val_windows_pos_brain_ivh_stage_3_4,val_windows_pos_cns_los,val_windows_pos_cps_los,val_windows_pos_infection,val_windows_pos_los,val_windows_pos_pneumonia,val_windows_pos_sepsis,multi_fn,multi_fp,multi_tn,multi_tp,train_total_patients,train_total_windows,val_total_patients,val_total_windows
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,1,,,,,,,,,,,0.68626,0.97260,0.98295,0.98417,0.97986,0.98417,247.00000,247,,,,,247.00000,,,20.00000,31,,,,,19.00000,,,254629.00000,252230,,,,,253745.00000,,,1897.00000,4296,,,,,2781.00000,,,29.00000,29,,,,,29.00000,,,4.00000,5,,,,,3.00000,,,30033.00000,29862,,,,,30200.00000,,,472.00000,643,,,,,305.00000,,,,,,,247,256526,29,30505
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,2,,,,,,,,,,,0.87195,0.98209,0.98752,0.98732,0.98609,0.98732,247.00000,247,,,,,247.00000,,,20.00000,31,,,,,19.00000,,,254972.00000,252516,,,,,254089.00000,,,1955.00000,4411,,,,,2838.00000,,,29.00000,29,,,,,29.00000,,,4.00000,5,,,,,3.00000,,,31269.00000,30898,,,,,31450.00000,,,662.00000,1033,,,,,481.00000,,,,,,,247,256927,29,31931
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,3,,,,,,,,,,,0.87257,0.99201,0.99383,0.99407,0.99344,0.99407,248.00000,248,,,,,248.00000,,,20.00000,32,,,,,20.00000,,,254796.00000,252304,,,,,254019.00000,,,2097.00000,4589,,,,,2874.00000,,,28.00000,28,,,,,28.00000,,,4.00000,4,,,,,2.00000,,,29885.00000,29732,,,,,29953.00000,,,279.00000,432,,,,,211.00000,,,,,,,248,256893,28,30164
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,4,,,,,,,,,,,0.62611,0.95948,0.96249,0.97668,0.96831,0.97668,248.00000,248,,,,,248.00000,,,21.00000,32,,,,,18.00000,,,260033.00000,257998,,,,,259806.00000,,,2190.00000,4225,,,,,2417.00000,,,27.00000,27,,,,,27.00000,,,2.00000,3,,,,,3.00000,,,23288.00000,22819,,,,,22849.00000,,,164.00000,633,,,,,603.00000,,,,,,,248,262223,27,23452
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,5,,,,,,,,,,,0.81130,0.97174,0.97634,0.97909,0.97403,0.97909,248.00000,248,,,,,248.00000,,,22.00000,32,,,,,18.00000,,,264043.00000,261794,,,,,263617.00000,,,2205.00000,4454,,,,,2631.00000,,,28.00000,28,,,,,28.00000,,,2.00000,4,,,,,4.00000,,,21998.00000,21518,,,,,21680.00000,,,242.00000,722,,,,,560.00000,,,,,,,248,266248,28,22240
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,6,,,,,,,,,,,0.66966,0.97379,0.98542,0.98630,0.98265,0.98630,247.00000,247,,,,,247.00000,,,21.00000,31,,,,,18.00000,,,252592.00000,250446,,,,,252207.00000,,,2143.00000,4289,,,,,2528.00000,,,28.00000,28,,,,,28.00000,,,2.00000,4,,,,,3.00000,,,30631.00000,30184,,,,,30356.00000,,,172.00000,619,,,,,447.00000,,,,,,,247,254735,28,30803
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,7,,,,,,,,,,,0.64042,0.98316,0.98859,0.99061,0.98757,0.99061,247.00000,247,,,,,247.00000,,,21.00000,31,,,,,18.00000,,,248321.00000,246011,,,,,247725.00000,,,2096.00000,4406,,,,,2692.00000,,,28.00000,28,,,,,28.00000,,,2.00000,4,,,,,3.00000,,,35309.00000,35075,,,,,35187.00000,,,170.00000,404,,,,,292.00000,,,,,,,247,250417,28,35479
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,8,,,,,,,,,,,0.57029,0.97172,0.98495,0.98538,0.97977,0.98538,247.00000,247,,,,,247.00000,,,20.00000,31,,,,,19.00000,,,248629.00000,246438,,,,,248060.00000,,,2004.00000,4195,,,,,2573.00000,,,28.00000,28,,,,,28.00000,,,3.00000,4,,,,,2.00000,,,34884.00000,34517,,,,,34733.00000,,,216.00000,583,,,,,367.00000,,,,,,,247,250633,28,35100
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,9,,,,,,,,,,,0.76417,0.98645,0.98975,0.99089,0.98882,0.99089,247.00000,247,,,,,247.00000,,,20.00000,31,,,,,19.00000,,,254630.00000,252252,,,,,253989.00000,,,2119.00000,4497,,,,,2760.00000,,,28.00000,28,,,,,28.00000,,,3.00000,4,,,,,2.00000,,,30843.00000,30650,,,,,30804.00000,,,234.00000,427,,,,,273.00000,,,,,,,247,256749,28,31077
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_1.pklz,10,,,,,,,,,,,0.83114,0.97934,0.98533,0.98598,0.98441,0.98598,247.00000,247,,,,,247.00000,,,20.00000,31,,,,,19.00000,,,259272.00000,256855,,,,,258507.00000,,,2034.00000,4451,,,,,2799.00000,,,28.00000,28,,,,,28.00000,,,3.00000,4,,,,,2.00000,,,26401.00000,26149,,,,,26528.00000,,,489.00000,741,,,,,362.00000,,,,,,,247,261306,28,26890
